,SPY,
20/10/2011,$7972.31,
21/10/2011,$8512.85,
22/10/2011,$8512.85,
23/10/2011,$8512.85,
24/10/2011,$8868.53,
25/10/2011,$8297.57,
26/10/2011,$8590.07,
27/10/2011,$9603.29,
28/10/2011,$9596.27,
29/10/2011,$9596.27,
30/10/2011,$9596.27,
31/10/2011,$8870.87,
1/11/2011,$8051.87,
2/11/2011,$8517.53,
3/11/2011,$9046.37,
4/11/2011,$8866.19,
5/11/2011,$8866.19,
6/11/2011,$8866.19,
7/11/2011,$9048.71,
8/11/2011,$9427.79,
9/11/2011,$8323.31,
10/11/2011,$8594.75,
11/11/2011,$9142.31,
12/11/2011,$9142.31,
13/11/2011,$9142.31,
14/11/2011,$8861.51,
15/11/2011,$9006.59,
16/11/2011,$8538.59,
17/11/2011,$8077.61,
18/11/2011,$8047.19,
19/11/2011,$8047.19,
20/11/2011,$8047.19,
21/11/2011,$7630.67,
22/11/2011,$7630.67,
23/11/2011,$7630.67,
24/11/2011,$7630.67,
25/11/2011,$7630.67,
26/11/2011,$7630.67,
27/11/2011,$7630.67,
28/11/2011,$7630.67,
29/11/2011,$7630.67,
30/11/2011,$7971.17,
1/12/2011,$7966.63,
2/12/2011,$7941.66,
3/12/2011,$7941.66,
4/12/2011,$7941.66,
5/12/2011,$8250.38,
6/12/2011,$8259.46,
7/12/2011,$8366.15,
8/12/2011,$7735.09,
9/12/2011,$8211.79,
10/12/2011,$8211.79,
11/12/2011,$8211.79,
12/12/2011,$7794.11,
13/12/2011,$7530.79,
14/12/2011,$7419.56,
15/12/2011,$7419.56,
16/12/2011,$7419.56,
17/12/2011,$7419.56,
18/12/2011,$7419.56,
19/12/2011,$7419.56,
20/12/2011,$7813.31,
21/12/2011,$7867.31,
22/12/2011,$8114.81,
23/12/2011,$8366.81,
24/12/2011,$8366.81,
25/12/2011,$8366.81,
26/12/2011,$8366.81,
27/12/2011,$8389.31,
28/12/2011,$8015.81,
29/12/2011,$8306.06,
30/12/2011,$8166.56,
31/12/2011,$8166.56,
1/1/2012,$8166.56,
2/1/2012,$8166.56,
3/1/2012,$8616.56,
4/1/2012,$8661.56,
5/1/2012,$8738.06,
6/1/2012,$8663.81,
7/1/2012,$8663.81,
8/1/2012,$8663.81,
9/1/2012,$8733.56,
10/1/2012,$8983.31,
11/1/2012,$8999.06,
12/1/2012,$9068.81,
13/1/2012,$8918.06,
14/1/2012,$8918.06,
15/1/2012,$8918.06,
16/1/2012,$8918.06,
17/1/2012,$9030.56,
18/1/2012,$9352.31,
19/1/2012,$9507.56,
20/1/2012,$9617.81,
21/1/2012,$9617.81,
22/1/2012,$9617.81,
23/1/2012,$9541.31,
24/1/2012,$9507.56,
25/1/2012,$9755.06,
26/1/2012,$9602.06,
27/1/2012,$9588.56,
28/1/2012,$9588.56,
29/1/2012,$9588.56,
30/1/2012,$9487.31,
31/1/2012,$9476.06,
1/2/2012,$9734.81,
2/2/2012,$9782.06,
3/2/2012,$10200.56,
4/2/2012,$10200.56,
5/2/2012,$10200.56,
6/2/2012,$10180.31,
7/2/2012,$10256.81,
8/2/2012,$10346.81,
9/2/2012,$10385.06,
10/2/2012,$10160.06,
11/2/2012,$10160.06,
12/2/2012,$10160.06,
13/2/2012,$10385.06,
14/2/2012,$10346.81,
15/2/2012,$10205.06,
16/2/2012,$10540.31,
17/2/2012,$10621.31,
18/2/2012,$10621.31,
19/2/2012,$10621.31,
20/2/2012,$10621.31,
21/2/2012,$10634.81,
22/2/2012,$10535.81,
23/2/2012,$10670.81,
24/2/2012,$10738.31,
25/2/2012,$10738.31,
26/2/2012,$10738.31,
27/2/2012,$10790.06,
28/2/2012,$10880.06,
29/2/2012,$10758.56,
1/3/2012,$10918.31,
2/3/2012,$10823.81,
3/3/2012,$10823.81,
4/3/2012,$10823.81,
5/3/2012,$10697.81,
6/3/2012,$10247.81,
7/3/2012,$10459.31,
8/3/2012,$10763.06,
9/3/2012,$10882.31,
10/3/2012,$10882.31,
11/3/2012,$10882.31,
12/3/2012,$10884.56,
13/3/2012,$11442.56,
14/3/2012,$11408.81,
15/3/2012,$11591.06,
16/3/2012,$11496.56,
17/3/2012,$11496.56,
18/3/2012,$11496.56,
19/3/2012,$11620.31,
20/3/2012,$11528.06,
21/3/2012,$11476.31,
22/3/2012,$11249.06,
23/3/2012,$11350.31,
24/3/2012,$11350.31,
25/3/2012,$11350.31,
26/3/2012,$11791.31,
27/3/2012,$11692.31,
28/3/2012,$11534.81,
29/3/2012,$11480.81,
30/3/2012,$11611.31,
31/3/2012,$11611.31,
1/4/2012,$11611.31,
2/4/2012,$11843.06,
3/4/2012,$11712.56,
4/4/2012,$11397.56,
5/4/2012,$11381.81,
6/4/2012,$11381.81,
7/4/2012,$11381.81,
8/4/2012,$11381.81,
9/4/2012,$11028.56,
10/4/2012,$10967.81,
11/4/2012,$10967.81,
12/4/2012,$11334.67,
13/4/2012,$11263.95,
14/4/2012,$11263.95,
15/4/2012,$11263.95,
16/4/2012,$11263.95,
17/4/2012,$11533.03,
18/4/2012,$11431.04,
19/4/2012,$11435.38,
20/4/2012,$11435.38,
21/4/2012,$11435.38,
